"ErrorCode";"Remediation";"Message"
"16000";"This is not an error scenario, but is handled like one by Azure AD to handle certain authentication flows.  This is not an indication that anything went wrong.";"Either multiple user identities are available for the current request or selected account is not supported for the scenario."
"16001";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"Active accounts must be logged out first."
"16002";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"Application requested to sign out of a user session which does not exist."
"160021";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"Application requested a user session which does not exist."
"16003";"Invite the user to the tenant, or ignore this error if the user isn't supposed to be a member of the tenant. This can be the case when someone is sent to a login URL for your tenant without being a member, or picks the wrong user account.";"The user account does not exist in the directory or the user hasn't been explicitly added to the tenant. To sign into this application, the account must be added to the directory."
"17003";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"User key ({keyType}) could not be provisioned."
"20001";"There's an issue with your federated identity provider. The WS-Federation response acquired from a federated identity provider has been successfully parsed, but it did not contain SAML 1.1 assertion issued for the user. Please contact your identity provider to resolve this issue.";"The sign-in response message does not contain an issued token."
"20012";"There is an issue with your federated identity provider. Contact your identity provider to resolve this issue.";"An error occurred when we tried to process a WS-Federation message. The message was invalid, malformatted, or contains potentially dangerous characters."
"20033";"Actual message content is runtime specific. Please see returned exception message for details.";"The actual message content is runtime specific. Please see returned exception message for details."
"230109";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"Backup Auth Service only allows AuthN requests from AAD Gateway."
"28002";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"Provided value for the input parameter scope '{scope}' is not valid when requesting an access token. Please specify a valid scope."
"28003";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"Provided value for the input parameter scope cannot be empty when requesting an access token using the provided authorization code. Please specify a valid scope."
"40008";"There is an issue with your federated identity provider. Contact your identity provider to resolve this issue.";"There was an unexpected error from the external identity provider."
"40009";"There is an issue with your federated identity provider. Contact your identity provider to resolve this issue.";"The identity provider returned an error."
"40010";"The application should retry the request. If there is still an issue, contact your identity provider.";"The identity provider has failed with a transient error."
"40015";"There is an issue with your federated identity provider. Contact your identity provider to resolve this issue.";"The identity provider returned an error."
"50000";"If this persists, open a support ticket to resolve this issue: https://learn.microsoft.com/entra/fundamentals/how-to-get-support";"There was an error issuing a token or an issue with our sign-in service."
"50001";"Check your app's code to ensure that you have specified the exact and correct resource URL for the resource you are trying to access. Please see the returned exception message for details.";"The resource is disabled or the resource named could not be found. This can happen if the application has not been installed by the administrator of the tenant, or if the resource principal was not found in the directory or is invalid due to a typo."
"50002";"If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.";"This tenant isn't supported for this authentication method yet."
"500011";"Developer error - the app requested access to a resource (application) that isn't installed in your tenant. If you expect the app to be installed, you may need to provide administrator permissions to add it. Check with the developers of the resource and application to understand what the right setup for your tenant is.";"The resource principal named {name} was not found in the tenant named {tenant}. This can happen if the application has not been installed by the administrator of the tenant or consented to by any user in the tenant. You might have sent your authentication request to the wrong tenant."
