Port,Protocol,Service,Category,Risk,Description
0,TCP,Reserved,Infrastructure,Low,Reserved
1,TCP,Port-Service-Multiplexer,Infrastructure,Low,Port Service Multiplexer
2,TCP,Management-Utility,Infrastructure,Low,Management Utility
3,TCP,Compression-Process,Legacy,Low,Compression Process
4,TCP,Unassigned,Infrastructure,Low,Unassigned
5,TCP,Remote-Job-Entry,Infrastructure,Low,Remote Job Entry
6,TCP,Unassigned,Infrastructure,Low,Unassigned
7,TCP,Echo,Legacy,Low,Echo
8,TCP,Unassigned,Infrastructure,Low,Unassigned
9,TCP,Discard,Legacy,Low,Discard
10,TCP,Unassigned,Infrastructure,Low,Unassigned
11,TCP,Active-Users,Infrastructure,Low,Active Users
12,TCP,Unassigned,Infrastructure,Low,Unassigned
13,TCP,Daytime,Infrastructure,Low,Daytime (RFC 867)
14,TCP,Unassigned,Infrastructure,Low,Unassigned
15,TCP,Unassigned-was-netstat,Infrastructure,Low,Unassigned [was netstat]
16,TCP,Unassigned,Infrastructure,Low,Unassigned
17,TCP,Quote-of-the-Day,Infrastructure,Low,Quote of the Day
18,TCP,Message-Send-Protocol,Infrastructure,Low,Message Send Protocol
19,TCP,Character-Generator,C2,High,Character Generator
20,TCP / UDP,FTP-Data,FileTransfer,Medium,FTP data channel
21,TCP / UDP,FTP,FileTransfer,Medium,FTP control channel
22,TCP / UDP,SSH,RemoteAccess,High,Secure shell remote access
23,TCP / UDP,Telnet,RemoteAccess,Critical,Unencrypted remote login
24,TCP,any-private-mail-system,Infrastructure,Low,any private mail system
25,TCP / UDP,SMTP,Email,Medium,Mail transfer
26,TCP,Unassigned,Infrastructure,Low,Unassigned
27,TCP,NSW-User-System-FE,Infrastructure,Low,NSW User System FE
28,TCP,Unassigned,Infrastructure,Low,Unassigned
29,TCP,MSG-ICP,Infrastructure,Low,MSG ICP
30,TCP,Unassigned,Infrastructure,Low,Unassigned
31,TCP,MSG-Authentication,Infrastructure,Low,MSG Authentication
32,TCP,Unassigned,Infrastructure,Low,Unassigned
33,TCP,Display-Support-Protocol,Infrastructure,Low,Display Support Protocol
34,TCP,Unassigned,Infrastructure,Low,Unassigned
35,TCP,any-private-printer-server,Legacy,Low,any private printer server
36,TCP,Unassigned,Infrastructure,Low,Unassigned
37,TCP,Time-W32SoberI-virus,Infrastructure,Low,Time / W32.Sober.I virus
38,TCP,Route-Access-Protocol,Infrastructure,Low,Route Access Protocol
39,TCP,Resource-Location-Protocol,Infrastructure,Low,Resource Location Protocol
40,TCP,Unassigned,Infrastructure,Low,Unassigned
41,TCP,Graphics,Infrastructure,Low,Graphics
42,TCP,Host-Name-Server,Infrastructure,Low,Host Name Server
43,TCP,WhoIs,Legacy,Low,WhoIs
44,TCP,MPM-FLAGS-Protocol,Infrastructure,Low,MPM FLAGS Protocol
45,TCP,Message-Processing-Module-recv,Infrastructure,Low,Message Processing Module [recv]
46,TCP,MPM-default-send,Infrastructure,Low,MPM [default send]
47,TCP,NI-FTP,FileTransfer,Medium,NI FTP
48,TCP,Digital-Audit-Daemon,Development,Medium,Digital Audit Daemon
49,TCP,Login-Host-Protocol,Infrastructure,Low,Login Host Protocol (TACACS)
50,TCP,Remote-Mail-Checking-Protocol,Infrastructure,Low,Remote Mail Checking Protocol
51,TCP,IMP-Logical-Address-Maintenance,Infrastructure,Low,IMP Logical Address Maintenance
52,TCP,XNS-Time-Protocol,Infrastructure,Low,XNS Time Protocol
53,TCP / UDP,DNS,Infrastructure,Low,Domain resolution
54,TCP,XNS-Clearinghouse,Infrastructure,Low,XNS Clearinghouse
55,TCP,ISI-Graphics-Language,Infrastructure,Low,ISI Graphics Language
56,TCP,XNS-Authentication,Infrastructure,Low,XNS Authentication
57,TCP,any-private-terminal-access,Infrastructure,Low,any private terminal access
58,TCP,XNS-Mail,Infrastructure,Low,XNS Mail
59,TCP,any-private-file-service,Infrastructure,Low,any private file service
60,TCP,Unassigned,Infrastructure,Low,Unassigned
61,TCP,NI-MAIL,Infrastructure,Low,NI MAIL
62,TCP,ACA-Services,Infrastructure,Low,ACA Services
63,TCP,whois++,Legacy,Low,whois++
64,TCP,Communications-Integrator,C2,High,Communications Integrator (CI)
65,TCP,TACACS-Database-Service,Database,Medium,TACACS-Database Service
66,TCP,Oracle-SQLNET,Database,High,Oracle SQL*NET
67,TCP / UDP,DHCP,Infrastructure,Low,DHCP server
68,TCP / UDP,DHCP,Infrastructure,Low,DHCP client
69,TCP / UDP,TFTP,FileTransfer,High,Unauthenticated file transfer
70,TCP,Gopher,Legacy,Low,Gopher
71,TCP,Remote-Job-Service,Infrastructure,Low,Remote Job Service
72,TCP,Remote-Job-Service,Infrastructure,Low,Remote Job Service
73,TCP,Remote-Job-Service,Infrastructure,Low,Remote Job Service
74,TCP,Remote-Job-Service,Infrastructure,Low,Remote Job Service
75,TCP,any-private-dial-out-service,Infrastructure,Low,any private dial out service
76,TCP,Distributed-External-Object-Store,C2,High,Distributed External Object Store
77,TCP,any-private-RJE-service,Legacy,Low,any private RJE service
78,TCP,vettcp,Infrastructure,Low,vettcp
79,TCP,Finger,Legacy,Low,Finger
80,TCP / UDP,HTTP,Web,Low,Web traffic
81,TCP,HOSTS2-Name-Server-Bagle-AZ-worm-Win32Rbot-worm,Infrastructure,Low,HOSTS2 Name Server / Bagle-AZ worm / Win32.Rbot worm
82,TCP,XFER-Utility,Infrastructure,Low,XFER Utility
83,TCP,MIT-ML-Device,Infrastructure,Low,MIT ML Device
84,TCP,Common-Trace-Facility,Infrastructure,Low,Common Trace Facility
85,TCP,MIT-ML-Device,Infrastructure,Low,MIT ML Device
86,TCP,Micro-Focus-Cobol,Infrastructure,Low,Micro Focus Cobol
87,TCP,any-private-terminal-link,Infrastructure,Low,any private terminal link
88,TCP / UDP,Kerberos,Auth,Low,Authentication protocol
89,TCP,SU-MIT-Telnet-Gateway,RemoteAccess,High,SU/MIT Telnet Gateway
90,TCP,DNSIX-Securit-Attribute-Token-Map,Infrastructure,Low,DNSIX Securit Attribute Token Map
91,TCP,MIT-Dover-Spooler,Infrastructure,Low,MIT Dover Spooler
92,TCP,Network-Printing-Protocol,Infrastructure,Low,Network Printing Protocol
93,TCP,Device-Control-Protocol,Infrastructure,Low,Device Control Protocol
94,TCP,Tivoli-Object-Dispatcher,Infrastructure,Low,Tivoli Object Dispatcher
95,TCP,SUPDUP,Legacy,Low,SUPDUP
96,TCP,DIXIE-Protocol-Specification,Infrastructure,Low,DIXIE Protocol Specification
97,TCP,Swift-Remote-Virtural-File-Protocol,Infrastructure,Low,Swift Remote Virtural File Protocol
98,TCP,Linuxconf-TAC-News,Infrastructure,Low,Linuxconf / TAC News
99,TCP,Metagram-Relay,Infrastructure,Low,Metagram Relay
100,TCP,unauthorized-use,Infrastructure,Low,[unauthorized use]
101,TCP,NIC-Host-Name-Server,Infrastructure,Low,NIC Host Name Server
102,TCP,MSExchangeMTA-X400-ISO-TSAP-Class-0,Infrastructure,Low,MSExchangeMTA X.400 / ISO-TSAP Class 0
103,TCP,Genesis-Point-to-Point-Trans-Net,Infrastructure,Low,Genesis Point-to-Point Trans Net
104,TCP,ACR-NEMA-Digital-Imag-Comm-300,Development,Medium,ACR-NEMA Digital Imag. & Comm. 300
105,TCP,Mailbox-Name-Nameserver,Infrastructure,Low,Mailbox Name Nameserver
106,TCP,3COM-TSMUX,Infrastructure,Low,3COM-TSMUX
107,TCP,Remote-Telnet-Service,RemoteAccess,High,Remote Telnet Service
108,TCP,SNA-Gateway-Access-Server,Infrastructure,Low,SNA Gateway Access Server
109,TCP,Post-Office-Protocol---Version-2,Infrastructure,Low,Post Office Protocol - Version 2
110,TCP / UDP,POP3,Email,Medium,Mail retrieval
111,TCP,SUN-Remote-Procedure-Call,Infrastructure,Low,SUN Remote Procedure Call
112,TCP,McIDAS-Data-Transmission-Protocol,Infrastructure,Low,McIDAS Data Transmission Protocol
113,TCP,Authentication-Service,Infrastructure,Low,Authentication Service
114,TCP,Audio-News-Multicast,Infrastructure,Low,Audio News Multicast
115,TCP,Simple-File-Transfer-Protocol,FileTransfer,Medium,Simple File Transfer Protocol
116,TCP,ANSA-REX-Notify,Infrastructure,Low,ANSA REX Notify
117,TCP,UUCP-Path-Service,Infrastructure,Low,UUCP Path Service
118,TCP,SQL-Services,Database,High,SQL Services
119,TCP,NNTP,Legacy,Low,Network news transfer
120,TCP,CFDPTKT,Infrastructure,Low,CFDPTKT
121,TCP,Encore-Expedited-Remote-ProCall,Infrastructure,Low,Encore Expedited Remote Pro.Call
122,TCP,SMAKYNET,Infrastructure,Low,SMAKYNET
123,TCP / UDP,NTP,Infrastructure,Low,Time synchronization
124,TCP,ANSA-REX-Trader,Infrastructure,Low,ANSA REX Trader
125,TCP,Locus-PC-Interface-Net-Map-Ser,Infrastructure,Low,Locus PC-Interface Net Map Ser
126,TCP,Unisys-Unitary-Login,Infrastructure,Low,Unisys Unitary Login
127,TCP,Locus-PC-Interface-Conn-Server,Infrastructure,Low,Locus PC-Interface Conn Server
128,TCP,GSS-X-License-Verification,Infrastructure,Low,GSS X License Verification
